Name,Text,Like,Caption,Post_Category
dinasakuralkha,"Aplikasinya diaktifin lagi dong,sampai sekarang beluk bisa dilacak lagi busnya udah dimana",2 likes,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
manbehindthe.sun,min bis ke ikea lama benerr,Reply,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
kemboo_tamia,"Naik teman bus ? Waktu tunggu yg tidak jelas, unit yg beroperasi jg tidak banyak untuk setiap koridor saat ini sangat mengecewakan. Kembali operasikan semua unit dgn berbayar, itu yg saya harapkan",2 likes,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
judahzz,Uda gratis min brp lama?,Reply,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
saifulanwar_gc,"Nunggu hampir 30 menit bus tak kunjung tiba, akhirnya naik angkot dan terlambat masuk kerja. Makin bobrok sejak di kelola pemko medan. Tak jelas dan tak pasti",1 like,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
yogiquez,Uda beberapa hari ini jarang lihat Trans Metro Deli lah. Biasanya rame,Reply,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
rizki_ben27,ini tidak aktif lagi min,Reply,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
hutakudo_agian,"Time nya makin lama ya,,",Reply,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
sayangpacar91grosir,Aplikasi mitra darat kapan bisa dipakai lg min?😢,Reply,"Jalan-jalan ke Medan nggak lengkap kalo ngga bawah oleh-oleh legendaris. Hari ini, berburu oleh-oleh dimulai dengan perjalanan nyaman bersama Teman Bus. Tujuan? Tentu saja toko legendaris Bolu Meranti! Tips nih, guys! Naik koridor 2 Medan, turun di halte Klinik Spesialis Bunda, dan voila! Kamu sudah dekat banget dengan surga bolu favoritmu. Gak perlu pusing cari parkir atau capek macet. Santai aja, nikmati perjalanan!Jangan lupa bawa kartu non tunai ya, biar makin praktis. Tap, duduk, relax, dan siap-siap bawa oleh-oleh bolu lezat! Yuk, share pengalaman berburu kuliner favoritmu naik Teman Bus di Medan! Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
adibaaaaaaaah,Mohon info teman bus Medan yang bus nya ga ke detect oleh aplikasi mitra darat,Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
