rating,review
1,"barang tidak sampai ke saya, malah sudah dianggap transaksi selesai, ga ada konfirmasi"
5,sesuai batangnya
5,pengiriman cepat. ori logitech. kualitas lumayan
5,"cepet bgt sampenya, order pagi sore udah sampe.. produk bagus, key nya empuk dan nyaman bgt dipakai. fix ini the best sihh."
5,fast respon... barang sesuai pesanan.. paking rapih.. mantapppp... 👍
5,terimakasih barang sudah sampai dan diterima dengan baik. seneng deh. semoga bisa awet. sukses selalu ya
5,mousenya gaenak
5,original logitech
5,"packing bagus, barang ori, komplit, bonus batere"
5,"barang sesuai pesanan, promo mantap suksess"
5,"barang sesuai pesanan & deskripsi, semoga berfungsi, dan awet juga. mantap."
5,Mantab
5,mntaaab
5,"ya bgus,sesuai deskripsi,smoga awet,mntaab"
5,berfungsi dengan baik
4,"Semoga awet. Selalu puas dgn produk logitech. Pernah beli dgn tipe B170, hanya saja versi yg ini (M170) bunyi kliknya lumayan agak keras."
5,"Kemasan rapih, packing nya aman pake bubble wrap, berfungsi dgn baik 👍🏻"
5,mamtap
5,Barang sudah sampai
5,"barang sudah diterima sesuai dengan pesanan dan berfungsih dengan baik , terima kasih"
5,"mantab
extra cepat
pesan nya malam.
pagi sudah ada kurir yang anter di depan kantor
pemakaian nyaman"
5,"Mouse sdh sampai, original, sdh digunakan juga dan berfungsi..mantap"
3,Pengiriman lama
5,ok langsung konek
5,"belum d coba, semoga berfungsi dan awet"
5,kualitas ok resmi asli bagus
5,terima kasih
5,"Delivery cepet banget, item baik. Semoga tidak ada kendala kedepannya."
5,"barang oke, pengiriman oke"
5,respon xepat. brangnya ok
5,keren bgt.. nyesel ga beli yg model ini dari dulu.. Worth it bgt.. jangan ragu..
5,Produk bagus dan original 👍👍
5,Mantap
5,sesuai diskripsi....
5,"Sangat handy, praktis, meski desainnya gilig n gendut tp pas ditangan. Gak terlalu besar tp ngga mungil2 banget, dan yang paling penting...ngga berisik. Semoga gak boros... "
5,"Bahannya enak banget, di klik juga pelan, licin juga untuk daily usage dan dia di kaca juga lancar. nyobain yang besar dan agak kebesaran dikit di tangan yang pendek. cum... "
5,"oke brfungsi dgn baik, smoga awet aja barangnya"
5,Bekerja dgn baik. sudah beli kedua kalinya dgn tipe yg sama.
5,VALUE FOR MONEY! Enak banget dipakenya bener2 silent click!!!! Alus juga ga bikin tangan pegel hahaha
5,Respons nya cepat. Barang tiba dgn packing  rapi & aman. Kondisi brg jg baik. Pengirimannya jg cepat. Recommended seller 👍🏻
5,"terima kasih seller, barang sudah di terima dan berfungsi dengan baik 🙏🏻"
5,oke aman dan sesuai
5,Packing yang rapih
5,Berfungsi dengan baik
5,Good condition
5,"it has a nice weight. no clicking nor scrolling sound, also with a good price hehe"
5,good product good brand
5,bagus gan
5,"Terima kasih pengiriman cepat sampai. Yang dikasih juga senang. Makasih banyak sudah kasih diskon. Sering-sering aja, biar bisa bagi-bagi hadiah :) Recommend Seller"
5,produk sesuai
5,brg sesuai pesanan. thanks
5,puas
5,oke .. mantab mousenya .. ✌️
5,ok
5,"kualitas bagus, aman dan paket cepat sampai..."
5,"berfungsi dengan baik, ekspedisi yg dipakai juga profesional, sesuai janji/slogannya."
5,Respon cepat dan barang sesuai pesanan
5,Bagus mouse nya sesuai deskripsi. Semoga awet
4,Bagus
5,ok
5,bagus sesuai fast respon
5,Sdh diterima dgn baik dan langsung dipakai
5,"packaging nya rapih, barangnya juga bagus"
5,It works 👍👍
5,"Sangat cantik sekali warnanya, apa lagi kualitasnya jangan diraguian lagi. Cuma pengorimannya sih telat banget sampe hrs melalui tokopedia dulu karna telat kirim."
5,"Enak dipake dri awal megang jga, sesuai ekspektasi"
5,Puas sekali selalu langganan di logi
5,"keyboard enak, Peweeee buat kerja. toko asik, responsif, kirim super cepat, dan packing rapih!"
5,"produk keren! banyak fitur dan tombol yg menghemat kerja. toko juga gokil! pesen, dan kasi notes kirim super cepat . alhasil jam 8 pagi barang sudah sampe tujuan! thanks"
5,mousenya nyaman.... mantap
5,"barang masih disegel waktu sampai.
produk original.
kualitas sangat baik.
warna sesuai.
keyboard berfungsi dgn baik.
packing cukup aman, pake bubble and dus
thank you sel... "
5,bentuknya pas nyaman di tangan tidak terlalu besar atau terlalu kecil.. 👍
5,"barang sudah datang, sesuai pesanan pengiriman cepat 
Terimakasih seller"
5,"Paket lewat dari estimasi, sempet pengajuan komplin, 
Ahkirnya datang dengan Paket terbuka, tapi untung dalamnya aman dan berfungsi"
5,"bagus, nyaman dipakai. tapi ternyata yg ukuran besarnya mayan agak kebesaran di tangan. jadi cukup yg ukuran biasa."
5,"packaging aman, berfungsi dgn baik.. barakallah.."
5,"Jujur ganteng, bukan silent ya guys gw suka yang bunyi taktektaktek hehe thanks logitech! 😊🙏🏻"
5,Bagus dan mudah difairing tanpa donge. Tapi gak ergonomis.
5,"Barang sesuai pesanan, packing rapi. Semoga awet. Terima kasih."
5,bagus
5,Mantapppppp
5,Mantappppp
5,mantap sekali
5,"produk ok, harga ok"
5,mantab...sesuai dgn harga.. trimakasih Boz
5,"kualitas bagus harga terbaik, colok langsung connect, tidak ada kendala"
5,"barang ok, masih disegel. berfungsi dengan baik. sudah ad baterai di dalamnya, bs lgsng dipakai. smga awet"
5,mantap enak digunakan tombol²nya tidak keras klo ditekan lembut selembut hati saya
5,ok bagus baranya sesuai
5,baguuus
5,"Warna rose nya cantik dan kalem. 
Berfungsi dg baik. Pengiriman juga express. 👍🏻"
5,👍🏼
5,"mantap 👍🏻
pengiriman cepat, packing ok, barang juga berfungsi dengan baik"
5,"barangnya mantap, sesuai deskripsi"
5,"barang sesuai deskripsi, garansi dan original, pengiriman cepat"
5,"topp, pengiriman cepat, barang berfungsi dengan baik"
5,mantap
5,terjamin kualitas dan mutunya. .
5,Baguuuus................
5,The best
5,produk berfungsi semua
5,Logitech selalu memuaskan. Sy sukaaaaaaaaa
5,"packing aman dus tebal, bubble wrap ada, paket sesuai deskripsi kualitas bagus  suara sesuai harga, terimakasih"
5,kualitas bagus
5,"proses cepat, delivery sesuai jadual
produk bagus, sesuai ekspektasi"
5,"responny cepat, brangny berfungsi dengan baik. agk gelap kn backlight. nnti akan dicoba dengan lampu"
5,"Ukuran mouse reguler dan cukup besar, sama dengan ukuran mouse dg kabel. Cukup mantab digenggam, karena lebih berat dari mouse biasanya. Mantab sekali"
5,"Bagus barangnya, sesuai harga. Thank u"
1,"untuk packing emang aman tapi pas di pakai mouse nggak jalan, sy komplain suduh upload video unboxing , sy lupa nggak di video in pas unboxing, jadi pembelajaran saja mou... "
5,"Barang bagus, lembut banget dipakai."
5,"mantap, ga pernah kecewa beli, selalu memuaskan"
5,bagussss
5,"Pengiriman barang cepet bgt, pagi udh sampe. Keyboard sepaket dan sekoneksi dg mouse, berfungsi baik. Keyboard cakep, slim, kokoh. Mouse slim (mudah2an ngga gampang rusak... "
5,sudah diterima dalam kondisi masih segelan
5,Mantap
5,"Barangnya sesuai, packingnya aman, dan pengiriman cepat.
Terimakasih"
5,"cakep banget desainnya, pake nya juga enak"
5,"lancar langsung connect, ga ada keluhan. udah dapet batre. thanks seller"
5,Okeh okeeh kimociih .. mantaab baaat ...👍👍👍
5,"Good product, good service."
5,"mantap nya luar biasa, order maghrib, besok pagi nya jam 8 sudah sampe....
don't know how they manage, but this is something awesome...well done 
recommended seller"
5,Top
5,terimakasih... barang sdh nyampe dan sesuai  dgn pesanan
5,smooth
5,puas
5,"Barang Ok, berfungsi dengan baik, dan sampe cepet bangettt! Recommended seller, Thank you!"
5,Barang sesuai
5,Cepat dan terpercaya.
5,Mantap. Pengiriman cepat. Kemasan sangat aman
3,lampu indikator gak nyala
5,"all good. respon seller fassttt, GTL express juga sangat fasttt. harga wajar"
5,Bagus
5,barang diterima dalam kondisi baik. sudah dicoba dan berfungsi baik.
5,"barang sampai dengan kondisi bagus. sudah dicoba, tidak ada masalah"
1,"scrollnya tiba2 ga berfungsi, pas di bongkar ternyata ada patahan di dalamnya"
5,Mousenya nyaman dipakai dan tidak mengeluarkan banyak suara
5,"bagus, berfungsi. lebih enak tanpa kabel"
5,Mantulz 👍
5,🫡🫡🫡
5,🫡🫡🫡
5,"Barngnya ok dan Mantab... semoga awet,,,"
5,"Pelayanan & pengemasan bagus. Saya pakai webcamnya di Linux Fedora 38, tinggal plug-n-play semua berjalan normal, dikondisi ligthing yg ok kualitas gambarnya lebih ba... "
5,"sesuai deskripsi, barang ori"
5,"barang sampai dengan utuh dan sesuai, dikemas dengan baik"
5,Pengiriman cepat. Barang yang diterima berfungsi dengan baik dan sesuai dengan deskripsi. Terima kasih.
5,"barang bagus sesuai, fast respon, dan langsung dikirim"
5,"Barang sesuai harapan. 
terimakasih banyak"
5,mantap.
5,dus utuh segel
5,originl
5,"Kualitas bagus. Berfungsi dengan baik. Merk logitech tidak perlu diragukan. Datangnya juga cepat. Tq seller, tokopedia, dan kurir. Mantaaap👍🏻👍🏻👍🏻👍🏻👍🏻"
5,"Barang udah sampai. Mousenya bagus, ringan, pas di tangan saya, tidak ada kendala, tinggal plug and play ada nano receiver nya (tentu saja) di tes di laptop, sudah includ... "
5,good
5,ok
5,"packing rapih, delivery okeh dan barang bagus"
5,Sedap euy! Bisa pindah device dengan sangat mudah dan cepat
5,semoga awet
5,"standard kualitasnya bagus,"
5,sesuai expektasilah
