rating,review
5,"desain mewah, ringan, kualitas dan performanya optimal. pokoknya mantaaap"
5,barang ori
1,"barang tidak sampai ke saya, malah sudah dianggap transaksi selesai, ga ada konfirmasi"
5,sesuai batangnya
5,pengiriman cepat. ori logitech. kualitas lumayan
5,"cepet bgt sampenya, order pagi sore udah sampe.. produk bagus, key nya empuk dan nyaman bgt dipakai. fix ini the best sihh."
5,fast respon... barang sesuai pesanan.. paking rapih.. mantapppp... 👍
5,terimakasih barang sudah sampai dan diterima dengan baik. seneng deh. semoga bisa awet. sukses selalu ya
5,mousenya gaenak
5,original logitech
5,"packing bagus, barang ori, komplit, bonus batere"
5,"barang sesuai pesanan, promo mantap suksess"
5,"barang sesuai pesanan & deskripsi, semoga berfungsi, dan awet juga. mantap."
5,Mantab
5,mntaaab
5,"ya bgus,sesuai deskripsi,smoga awet,mntaab"
5,berfungsi dengan baik
4,"Semoga awet. Selalu puas dgn produk logitech. Pernah beli dgn tipe B170, hanya saja versi yg ini (M170) bunyi kliknya lumayan agak keras."
5,"Kemasan rapih, packing nya aman pake bubble wrap, berfungsi dgn baik 👍🏻"
5,mamtap
5,Barang sudah sampai
5,"barang sudah diterima sesuai dengan pesanan dan berfungsih dengan baik , terima kasih"
5,"mantab
extra cepat
pesan nya malam.
pagi sudah ada kurir yang anter di depan kantor
pemakaian nyaman"
5,"Mouse sdh sampai, original, sdh digunakan juga dan berfungsi..mantap"
3,Pengiriman lama
5,ok langsung konek
5,"belum d coba, semoga berfungsi dan awet"
5,kualitas ok resmi asli bagus
5,terima kasih
5,"Delivery cepet banget, item baik. Semoga tidak ada kendala kedepannya."
5,"barang oke, pengiriman oke"
5,respon xepat. brangnya ok
5,keren bgt.. nyesel ga beli yg model ini dari dulu.. Worth it bgt.. jangan ragu..
5,Produk bagus dan original 👍👍
5,Mantap
5,sesuai diskripsi....
5,"Sangat handy, praktis, meski desainnya gilig n gendut tp pas ditangan. Gak terlalu besar tp ngga mungil2 banget, dan yang paling penting...ngga berisik. Semoga gak boros... "
5,"Bahannya enak banget, di klik juga pelan, licin juga untuk daily usage dan dia di kaca juga lancar. nyobain yang besar dan agak kebesaran dikit di tangan yang pendek. cum... "
5,"oke brfungsi dgn baik, smoga awet aja barangnya"
5,Bekerja dgn baik. sudah beli kedua kalinya dgn tipe yg sama.
5,VALUE FOR MONEY! Enak banget dipakenya bener2 silent click!!!! Alus juga ga bikin tangan pegel hahaha
5,Respons nya cepat. Barang tiba dgn packing  rapi & aman. Kondisi brg jg baik. Pengirimannya jg cepat. Recommended seller 👍🏻
5,"terima kasih seller, barang sudah di terima dan berfungsi dengan baik 🙏🏻"
5,oke aman dan sesuai
5,Packing yang rapih
5,Berfungsi dengan baik
5,Good condition
5,"it has a nice weight. no clicking nor scrolling sound, also with a good price hehe"
5,"barang sesuai deskripsi, garansi dan original, pengiriman cepat"
5,"topp, pengiriman cepat, barang berfungsi dengan baik"
5,mantap
5,terjamin kualitas dan mutunya. .
5,Baguuuus................
5,The best
5,produk berfungsi semua
5,Logitech selalu memuaskan. Sy sukaaaaaaaaa
