created_at,full_text
Thu May 25 07:54:55 +0000 2023,Komunitas emak-emak di Jember mendeklarasikan dukungan terhadap Prabowo Subianto sebagai Calon Presiden 2024-2029
Thu May 25 07:57:55 +0000 2023,@collegemenfess Bulanan biar bs chat ibu kos trus
Thu May 25 07:56:38 +0000 2023,@GeiszChalifah Sudahlah yang menjadi Presiden Indonesia untuk tahun 2024 masih keturunan dari orang Jawa asli
Thu May 25 07:57:33 +0000 2023,@hiourly makan
Thu May 25 07:57:20 +0000 2023,@republikaonline yakali masih mau pilih presiden dari partai korup itu
Thu May 25 07:54:54 +0000 2023,Dukung Prabowo Subianto Presiden 2024-2029
Thu May 25 07:57:53 +0000 2023,Berbekal elektabilitas yang semakin melonjak naik
Thu May 25 07:57:39 +0000 2023,@Relawananies ha... ha...Anies mau nyalon presiden....??? \n𝙈 𝙚 𝙢 𝙖 𝙡 𝙪 𝙠 𝙖 𝙣....!!!?? https://t.co/zk8guoU48E
Thu May 25 07:55:14 +0000 2023,@kegblgnunfaedh @Dennysiregar7 @kurawa @yusuf_dumdum @GunRomli  tolong sampaikan ke pak presiden
Thu May 25 07:55:17 +0000 2023,@myXL kenapa lage inihhh jaringannyaa
Thu May 25 07:54:58 +0000 2023,@zzvdss @tanyakanrl Presiden bukan public enemy juga? 🤭
Thu May 25 07:57:01 +0000 2023,Berbekal elektabilitas yang semakin melonjak naik
Thu May 25 07:57:39 +0000 2023,@abu_waras @sudjiwotedjo @karniilyas Pernyataan tolol 
Thu May 25 07:56:52 +0000 2023,Survei Capres Mei 2023: Ini Perbandingan Hasil 7 Lembaga Survei
Thu May 25 07:54:51 +0000 2023,figur pak Prabowo menjadi presiden karena butuh pemimpin yang tegas dan bisa membawa Indonesia lebih baik lagi.\n\n#SemuaDukungPrabowo\n#SayaSetyoko
Thu May 25 07:54:42 +0000 2023,Di Kota Tangerang
Thu May 25 07:54:29 +0000 2023,@Schlossthe6 @Rizkihadi @VIVAcoid Betul ganjar aslinya pemilihnya blm melewati suara PDI-P. Suara PDI-P paling hanya 20%. PPP itu gerbong kosong. \n\nWajar pak jokowi dukung Prabowo. \n\nSemoga pak Anies jd presiden. Saya dari Banyumas dukung pak Anies
Thu May 25 07:54:45 +0000 2023,Sekretaris Partai Gerindra Kota Tangerang ini menyatakan bahwa pihaknya akan solid memenangkan Prabowo Subianto sebagai presiden.\n\n#SemuaDukungPrabowo\n#SayaSetyoko
Thu May 25 07:54:52 +0000 2023,“Ya kita sangat ingin punya presiden yang tegas dan bisa membawa Indonesia lebih baik lagi
Thu May 25 07:53:40 +0000 2023,Presiden Joko Widodo meminta Mahkamah Konstitusi agar dapat menjadi wasit yang adil jika terjadi sengketa pada Pemilu 2024 mendatang. Hal ini disampaikan Jokowi dalam Sidang Pleno Khusus MK dengan agenda penyampaian Laporan Tahunan 2022
Thu May 25 07:53:45 +0000 2023,@moonareas Pengen punya anak jaman skarang bkn pake metode tanam benih lagi ya
Thu May 25 07:53:38 +0000 2023,Saudar @Miduk17 dan @ch_chotimah2 tolong sampaikan ke Calon Presiden MUKA TEMBOK anda. Urusin tu Daerahnya sendiri. https://t.co/s2KhERtV0c
Thu May 25 07:53:59 +0000 2023,@AndiSinulingga IQ rendah mau jadi presiden
Thu May 25 07:54:46 +0000 2023,@JudahLion88 @Narasi_winda @aniesbaswedan Presiden nya Ukraina mantan juara standup comedy
Thu May 25 07:53:41 +0000 2023,Tak hanya itu
Thu May 25 07:54:25 +0000 2023,@moonareas Terima kalo emang PENGEN NONTON aja
Thu May 25 07:54:51 +0000 2023,@collegemenfess Semangat
Thu May 25 07:51:42 +0000 2023,Selain bertemu Menhan RI
Thu May 25 07:51:33 +0000 2023,KSP Moeldoko mengungkap keberanian Presiden Jokowi dalam pertemuan G7 di Hiroshima
Thu May 25 07:51:51 +0000 2023,Demokrasi Dibajak Lembaga Survey\n\nLembaga Survey seolah olah tak henti hentinya membombardir masyarakat dengan rilis hasil surveynya. Publik seolah dipaksa harus mempercayai hasil dari lembaga survey tersebut.\n\nDari mulai merokenya suara seorang calon \npresiden. Sampai klaim… https://t.co/1qiEJtH4Ru
Thu May 25 05:07:57 +0000 2023,@prastow @KATADATAcoid @KemenPU Sungguh aneh sekali jika PUPR maupun BPS tidak memiliki data lengkap tentang penambahan jalan
Thu May 25 03:19:57 +0000 2023,Betulkah Prof Mahfud menyebut ada rekaman percakapan sejumlah pejabat teras terkait kasus korupsi BTS di Kemeninfo? Kalo betul
Thu May 25 07:52:32 +0000 2023,@moonareas Nggatau yh aku di kamar
Thu May 25 07:53:34 +0000 2023,@Ahwal08 @sospolkw KADER PARTE X KORUPSI TUH
Thu May 25 07:51:31 +0000 2023,@fajarnugros 1. Regresi demokrasi Indonesia trparah pasca reformasi justru trjd di era presiden sipil\n\n2. Naiknya kprcayaan rakyat pd prajurit adl buah dr turunnya kprcayaan rakyat pd politisi\n\n3. Perilaku alamiah prajurit adl patuh komando. Mrk hny a
Thu May 25 07:52:36 +0000 2023,Saya yakin orang type Pak Machfud ini type org yg jujur pasti di buka dipersidangan Bakan seperti org yg sdg nyalon Presiden ex Yaman itu
Thu May 25 07:51:49 +0000 2023,@KakekHalal Indonesia memilih presiden  yg the real deal presiden
Thu May 25 07:40:33 +0000 2023,Dea Ananda Melati
Thu May 25 07:51:42 +0000 2023,PUPR-BPS entah mana yang benar.\nJika ada yang gak beres ada 2 indikasi. \n1. Bodoh \n2. Korup \nPelajaran dasar jadi pemimpin.\nPUPR-BPS ke-2nya anak buah Presiden.\nTinggal Presiden periksa.\n\nAtau malah Presidennya yg punya 2 indikasi itu. Rakyat atasan Presiden
Thu May 25 07:52:34 +0000 2023,@awemany Sby itu kualitas paling minimal pas jadi presiden tapi yang ini malah dibawahnya 🤣 kacau
Thu May 25 07:53:32 +0000 2023,@MarahIchsan @jokowi @KemenPU Mobil2 yg lewat keliatan bersih seblm melewati kubangan lumpur. Apa hanya di satu titik itu  yg jalannya Rusak?  \n\nApa semua harus dihandle Presiden?
Thu May 25 07:51:52 +0000 2023,Demokrasi Dibajak Lembaga Survey\n\nLembaga Survey seolah olah tak henti hentinya membombardir masyarakat dengan rilis hasil surveynya. Publik seolah dipaksa harus mempercayai hasil dari lembaga survey tersebut.\n\nDari mulai merokenya suara seorang calon \npresiden. Sampai klaim… https://t.co/M14cTlqu2Z
