created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username

created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Thu May 25 07:54:55 +0000 2023;1661641983067308000;1661641983067308033;"Komunitas emak-emak di Jember mendeklarasikan dukungan terhadap Prabowo Subianto sebagai Calon Presiden 2024-2029, Minggu (9/10/2022) malam\n\n#SemuaDukungPrabowo\n#SayaSetyoko";0;1;0;0;;in;4513069644;1661641918051418000;1661641918051418118;"";"";LubisDarlina
Thu May 25 07:57:55 +0000 2023;1661642740160147500;1661642740160147456;"@collegemenfess Bulanan biar bs chat ibu kos trus";0;0;0;0;;in;1448989027630075904;1661594219914621000;1661594219914620928;"";"";jangancapek
Thu May 25 07:56:38 +0000 2023;1661642417660104700;1661642417660104704;"@GeiszChalifah Sudahlah yang menjadi Presiden Indonesia untuk tahun 2024 masih keturunan dari orang Jawa asli";0;0;0;0;;in;1517102733362286592;1661092083430736000;1661092083430735872;"";"";IroFidel
Thu May 25 07:57:33 +0000 2023;1661642647587676200;1661642647587676160;"@hiourly makan";0;0;0;0;;in;1390179856818663427;1661633748457377800;1661633748457377793;"";"";conslution
Thu May 25 07:57:20 +0000 2023;1661642592197673000;1661642592197672960;"@republikaonline yakali masih mau pilih presiden dari partai korup itu";0;0;0;0;;in;2392575746;1661608755010896000;1661608755010895872;"";"";Vikjul_
Thu May 25 07:54:54 +0000 2023;1661641978969460700;1661641978969460737;"Dukung Prabowo Subianto Presiden 2024-2029, Emak-Emak Kaliwates Jember Jawa Timur: Beliau Tulus dan Ikhlas Mengabdi Untuk Rakyat\n\n#SemuaDukungPrabowo\n#SayaSetyoko https://t.co/aB96ON4qpV";0;1;0;0;;in;4513069644;1661641918051418000;1661641918051418118;"https://pbs.twimg.com/media/Fw9WW8saIAInSS-.jpg";"photo";LubisDarlina
Thu May 25 07:57:53 +0000 2023;1661642731297603600;1661642731297603589;"Berbekal elektabilitas yang semakin melonjak naik, @erickthohir berpeluang besar untuk menjadi Cawapres pada Pemilu 2024.  Meski demikian tetap tegak lurus kepada Presiden @jokowi untuk lankah selanjutnya \n\n#BangkitBersamaET \n#GueBarengErickThohir\n#GanjarErickDuetTerbaik https://t.co/uNhz4WC5Pi";0;0;0;0;;in;1499194086271889408;1661642731297603600;1661642731297603589;"https://pbs.twimg.com/ext_tw_video_thumb/1661642674565443585/pu/img/CIAdjmOJPsfsxFIP.jpg";"photo";merdekabrdaulat
Thu May 25 07:57:39 +0000 2023;1661642671419695000;1661642671419695104;"@Relawananies ha... ha...Anies mau nyalon presiden....??? \n𝙈 𝙚 𝙢 𝙖 𝙡 𝙪 𝙠 𝙖 𝙣....!!!?? https://t.co/zk8guoU48E";0;0;0;1;;in;1493446163571240966;1661537285496799200;1661537285496799233;"https://pbs.twimg.com/media/Fw9XNDEaYAANDHZ.jpg";"photo";HannasRahmat
Thu May 25 07:55:14 +0000 2023;1661642062557757400;1661642062557757440;"@kegblgnunfaedh @Dennysiregar7 @kurawa @yusuf_dumdum @GunRomli  tolong sampaikan ke pak presiden, rakyak ini tdk manja dan trus berjuang, tapi tolong sediakan lebih banyak lowongan pekerjaan utk anak negri.";0;0;0;0;;in;1586785547204165632;1661618113627168800;1661618113627168770;"";"";daundahan
Thu May 25 07:55:17 +0000 2023;1661642076432523300;1661642076432523264;"@myXL kenapa lage inihhh jaringannyaa,walau semua operator gangguan sihh tapii whyy";0;0;0;0;;in;1458006432184365061;1661642076432523300;1661642076432523264;"";"";AsfaBika
Thu May 25 07:54:58 +0000 2023;1661641995134341000;1661641995134341120;"@zzvdss @tanyakanrl Presiden bukan public enemy juga? 🤭";0;0;0;0;;in;2223049466;1661209161982685200;1661209161982685184;"";"";dreamy_lofoten
